Name,Tournaments
Dota2,1454
Counter-Strike: Global Offensive,5315
Fortnite,672
League of Legends,2479
StarCraft II,5962
Overwatch,743
PUBG,300
Hearthstone,901
Heroes of the Storm,475
Arena of Valor,51
Counter-Strike,995
Rainbow Six Siege,228
Rocket League,1090
SMITE,95
StarCraft: Brood War,586
Halo 5: Guardians,75
Call of Duty: Black Ops 4,68
Call of Duty: Modern Warfare,45
CrossFire,308
WarCraft III,1335
Magic: The Gathering Arena,36
World of WarCraft,118
Call of Duty: World War II,64
Apex Legends,249
Call of Duty: Infinite Warfare,80
Call of Duty: Black Ops III,78
PUBG Moblie,40
World of Tanks,50
Clash Royale,51
FIFA 19,48
