Column1,Name,"	TotalUSDPrize","	TotalTournaments"
1,Team Liquid,35820379.03,1854 Tournaments
2,OG,34194733.59,101 Tournaments
3,Evil Geniuses,24269698.79,855 Tournaments
4,Fnatic,15891208.88,939 Tournaments
5,Virtus.pro,14964274.39,515 Tournaments
6,Newbee,14225385.59,231 Tournaments
7,Vici Gaming,13161309.51,305 Tournaments
8,Team Secret,12078078.72,279 Tournaments
9,Invictus Gaming,11704690.10,506 Tournaments
10,Natus Vincere,11307177.40,491 Tournaments
11,LGD Gaming,10948410.59,145 Tournaments
12,Cloud9,9989260.95,766 Tournaments
13,SK Telecom T1,9805293.78,333 Tournaments
14,Wings Gaming,9745472.22,27 Tournaments
15,Paris Saint-Germain Esports,9480579.68,75 Tournaments
16,FaZe Clan,9228918.83,367 Tournaments
17,Astralis,8418918.81,94 Tournaments
18,OpTic Gaming,7903718.96,295 Tournaments
19,G2 Esports,7759743.02,430 Tournaments
20,Team SoloMid,6685921.00,624 Tournaments
21,Team Envy,6665419.22,357 Tournaments
22,SK Gaming,6515541.03,664 Tournaments
23,MVP,6227204.80,487 Tournaments
24,Alliance,5737542.15,327 Tournaments
25,mousesports,5420189.26,959 Tournaments
26,Samsung,5306802.80,353 Tournaments
27,Ninjas in Pyjamas,5229259.03,334 Tournaments
28,Counter Logic Gaming,5077193.95,445 Tournaments
29,Lazarus,5031313.22,262 Tournaments
30,Chaos Esports Club,4935963.00,84 Tournaments
31,NRG Esports,4922364.26,330 Tournaments
32,Royal Never Give Up,4900886.71,77 Tournaments
33,Gen.G,4694683.69,64 Tournaments
34,compLexity Gaming,4471813.23,600 Tournaments
35,TnC Gaming,4447050.32,58 Tournaments
36,EHOME,4045181.50,103 Tournaments
37,Team Dignitas,4010002.10,607 Tournaments
38,CDEC Gaming,3704903.32,52 Tournaments
39,Luminosity Gaming,3548357.60,268 Tournaments
40,EDward Gaming,3456403.73,108 Tournaments
41,Sentinels,3433250.68,60 Tournaments
42,eUnited,3362363.69,192 Tournaments
43,100 Thieves,3312155.35,72 Tournaments
44,Cooler Esport,3300164.26,28 Tournaments
45,eStar Gaming,3300157.32,54 Tournaments
46,Splyce,3299842.51,410 Tournaments
47,Vitality,3237144.81,224 Tournaments
48,Gambit Esports,3127287.52,182 Tournaments
49,San Francisco Shock,3105000.00,7 Tournaments
50,Team Empire,3084825.00,429 Tournaments
51,KT Rolster,2922370.01,219 Tournaments
52,Jin Air Green Wings,2764915.77,409 Tournaments
53,World Elite,2442343.31,210 Tournaments
54,Mineski,2434750.99,82 Tournaments
55,Flash Wolves,2386592.34,209 Tournaments
56,Ghost Gaming,2326479.70,173 Tournaments
57,ENCE eSports,2258454.23,212 Tournaments
58,Tempo Storm,2181650.14,412 Tournaments
59,COGnitive Gaming,2016138.32,164 Tournaments
60,Spacestation Gaming,1932400.64,166 Tournaments
61,MIBR,1923403.00,101 Tournaments
62,Rogue,1895665.94,195 Tournaments
63,Millenium,1822130.48,562 Tournaments
64,Dallas Empire,1797504.47,23 Tournaments
65,OMG,1784300.18,65 Tournaments
66,Epsilon eSports,1772279.91,242 Tournaments
67,Team DK,1769242.38,43 Tournaments
68,Echo Fox,1737629.59,337 Tournaments
69,HellRaisers,1651504.42,138 Tournaments
70,TyLoo,1611327.79,164 Tournaments
71,London Spitfire,1591136.50,13 Tournaments
72,New York Excelsior,1572618.50,18 Tournaments
73,Taipei Assassins,1529565.39,24 Tournaments
74,ahq e-Sports Club,1517072.64,87 Tournaments
75,CJ Entus,1502458.47,185 Tournaments
76,Team Reciprocity,1491429.86,82 Tournaments
77,Renegades,1481905.73,180 Tournaments
78,FunPlus Phoenix,1478729.97,23 Tournaments
79,LeStream Esport,1431833.11,84 Tournaments
80,Rise Nation,1412612.50,80 Tournaments
81,Infamous,1370946.01,54 Tournaments
82,ALTERNATE aTTaX,1355613.15,406 Tournaments
83,Top Esports,1336062.17,23 Tournaments
84,ROX Gaming,1332698.26,75 Tournaments
85,North,1316961.35,86 Tournaments
86,Incredible Miracle,1312868.72,166 Tournaments
87,Keen Gaming,1283305.59,43 Tournaments
88,Russian National Team,1260218.44,26 Tournaments
89,Denial Esports,1241411.24,178 Tournaments
90,BIG,1232814.12,159 Tournaments
91,Qiao Gu Reapers,1220408.20,17 Tournaments
92,Afreeca Freecs,1209132.72,275 Tournaments
93,Misfits,1208104.47,175 Tournaments
94,PENTA Sports,1199115.03,264 Tournaments
95,Atlanta Faze,1187500.00,14 Tournaments
96,Philadelphia Fusion,1186278.50,15 Tournaments
97,paiN Gaming,1168349.32,119 Tournaments
98,Immortals,1131165.15,118 Tournaments
99,Seoul Dynasty,1130000.00,6 Tournaments
100,Team Kinguin,1119008.47,119 Tournaments
